ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"92.222.237.74","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks5","3391","1","2024-01-29T01:31:59.828Z","100","5895","5895"
"104.22.50.220","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1519","1","2024-01-29T01:31:59.743Z","100","5829","5830"
"192.154.195.76","elite","AS64200","US","Vivid-hosting LLC","145","Vivid-hosting LLC","9000","socks5","3412","1","2024-01-29T01:31:59.742Z","100","5758","5769"
"95.216.199.159","elite","AS24940","FI","Hetzner Online GmbH","38","HETZNER-DC","50438","socks4","3984","1","2024-01-29T01:31:59.842Z","100","5827","5830"
"170.231.64.112","elite","AS265045","BR","Johanes Kler Felema Comunicacoes ME","292","Johanes Kler Felema Comunicacoes ME","5678","socks4","3382","1","2024-01-29T01:31:56.638Z","85","5054","5915"
"196.216.67.2","elite","AS30844","KE","Liquid Telecommunications Ltd","190","LTK KE SME","5678","socks5","3308","1","2024-01-29T01:31:56.643Z","88","5171","5879"
"195.231.72.187","elite","AS31034","IT","Aruba S.p.A.","21","Aruba S.p.A. - Cloud Services","1080","socks4","3496","1","2024-01-29T01:31:56.640Z","99","5912","5952"
"198.199.122.10","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","3128","socks4","4405","1","2024-01-29T01:31:56.642Z","97","5673","5839"
"183.89.180.128","elite","AS45629","TH","Triple T Broadband Public Company Limited","153","Triple T Broadband Public Company Limited","8080","socks4","4503","1","2024-01-29T01:31:56.637Z","93","5315","5715"
"47.254.241.21","elite","AS45102","MY","Alibaba (US) Technology Co., Ltd.","199","Alibaba.com LLC","21491","socks4","4010","1","2024-01-29T01:31:53.745Z","94","5439","5808"
"78.38.108.194","elite","AS58224","IR","Iran Telecommunication Company PJS","126","Abol Medical University","1080","socks5","3996","1","2024-01-29T01:31:53.827Z","84","4907","5845"
"137.220.176.177","elite","AS64050","JP","Rackip Consultancy Pte. LTD","288","CTG Server Ltd.","20089","socks5","5089","1","2024-01-29T01:31:53.743Z","3","176","5917"
"197.234.13.69","elite","AS36902","SC","Intelvision","177","Intelvision Ltd","4145","socks4","4798","1","2024-01-29T01:31:53.746Z","99","5775","5810"
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","188","PT. TELKOM INDONESIA","4145","socks4","4416","1","2024-01-29T01:31:50.832Z","81","4756","5889"
